"Story","Title","Result","Date","Stability","Duration (s)"
"Simular Api","Validar servicio de API SIMULADOR","SUCCESS","2022-08-05T14:43:00.333-05:00[America/Bogota]","0.0","3.7"
"Simular Api","Validar error en el mensaje esperado","SUCCESS","2022-08-05T14:43:04.042-05:00[America/Bogota]","0.0","0.58"
