"Story","Title","Result","Date","Stability","Duration (s)"
"Cotizar SOAT","Expedir el SOAT de un vehículo exitosamente","ERROR","2022-02-24T17:47:12.683-05:00[America/Bogota]","0.0","3.47"
"Cotizar SOAT","Cotizar exitosamente el valor del SOAT sin campos obligatorios pendientes por diligenciar en el vehículo","PENDING","2020-07-24T13:49:20.926-05:00[America/Bogota]","0.0","0.25"
